,How much do we make,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,who gets it,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,who gets it total,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,who gets it/per capita,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,total,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,How much should people get /cap,Unnamed: 40,by food,total.1,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,How much is needed (xpop),Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,plus waste,Unnamed: 56,Unnamed: 57,Unnamed: 58,How much is needed,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,overshoot/undershoot,Unnamed: 66,Unnamed: 67,Unnamed: 68,production from column 1,Unnamed: 70,Unnamed: 71,Unnamed: 72
0,,original,merged categories,animal feed %,biofuels %,total % redirected,adjusted totals,display totals,,,,region,food,% of supply / consumption,checksum,difference,total adjusted supply,old numbers,total adjusted supply (in new food groups),old numbers for check sum,new adjusted total,,,% of total,old total,% of world population,,,region,food,kg / capita,kg/cap (old),kg / capita (in new food groups),by food groups(old),new adjusted total,old total,calculation for chart,,,region,food,recommended consumption,total recommended consumption,over- or under- shoot,% over or under,calc for chart,overshoot/undershoot,,,,region,food,population,m tonnes,total,m Tonnes,total,,,food,m Tonnes,12.77,mTonnes,12.77,total waste,,,,,,,,
1,food,m Tonnes,,,,,,for the graphic,,,,,,live numbers,pre-check,,m tonnes,m tonnes,m tonnes,m tonnes,m tonnes,pixels,ratio,,m/tonnes,,,,,,,for checking,,for checking,kg / capita,kg/cap,ignore,,,,,kg/cap/year,kg/cap/year,,,SQRT,old,old,,,,,,,,,,,,,exc waste,pixels,inc. waste,pixels,,mTonnes,%,,,food,m Tonnes,,
2,,,7379.599999999999,,,,5969.459999999999,7384.899999999999,,,,,,,,,,,5969.459999999998,,5969.459999999999,,9.265940247127315,,7384.9,1,,,,,,,,,6520.6875486215595,,,,,,,,,,,,,,,,,,6416459397,,,,3778.3609899907365,,,,2906.431530762106,227.59839708395506,3778.3609899907374,295.8779162091415,871.9294592286315,,,,,,,,
3,Startch Veg,834.7,834.7,,,,834.7,834.7,,,,S Asia,Startch Veg,0.10300009518289299,0.4094,0.306399904817107,85.97417944916079,414.34,85.97417944916079,414.34,860.2962222445356,92.845,,0.14411625544765116,1469.18,0.20430253024166375,,,S Asia,Startch Veg,65.58414238123338,316.07319463059423,65.58414238123338,316.07319463059423,656.2643608955498,1120.742424307034,32.813218044777486,,,S Asia,Starch Veg,18.25,452.96500000000003,47.33414238123338,2.593651637327856,16.104818028552373,297.82319463059423,16.31907915784078,,,S Asia,Startch Veg,1310898890,23.9239047425,593.79131570885,31.10107616525,771.928710421505,,,Startch Veg,117.10038399525,9.16995959242365,152.23049919382498,11.920947470150743,,682.4695008061751,0.8183087539642387,,,Startch Veg,834,,
4,Whole Grains,2667,2667,0.41,0.11,0.52,1280.1599999999999,1280.1599999999999,,,,,Whole Grains,0.2093058334185798,0.2093,-5.833418579792582e-06,267.9449557091291,558.22,267.9449557091291,558.22,,,,,,,,,,Whole Grains,204.3978812958863,425.8299432994409,204.3978812958863,425.8299432994409,,,,,,,Whole Grains,84.68,,119.71788129588629,1.4137680833241175,11.890197993827174,341.1499432994409,4.0286955987180075,,,,Whole Grains,1310898890,111.0069180052,,144.30899340676,,,,Whole Grains,543.3457817379601,42.54861250884574,706.3495162593482,55.31319626149947,,1960.650483740652,0.7351520373980697,,,Whole Grains,2667,,
5,Vegetables,1130,2013,,,,1130,2013,,,,,Vegetables,0.10141960449665804,0.1014,-1.9604496658040538e-05,114.60415308122359,114.6,236.48929168134336,236.49,,,,,,,,,,Vegetables,87.42409804101948,87.42092992389367,180.40238914333307,180.40292947383608,,,,,,,Vegetables,182.5,,-2.0976108566669325,-0.011493758118722918,1.0720894607598246,-2.097070526163918,-0.011490797403637908,,,,Vegetables,1310898890,239.239047425,,311.0107616525,,,,Vegetables,1171.0038399525001,91.6995959242365,1522.3049919382502,119.20947470150746,,490.6950080617503,0.31254459112213395,,,Vegetables,1570,,
6,Fruit,883,,,,,883,,,,,,Fruit,0.13803526455279702,0.138,-3.5264552797009685e-05,121.88513860011977,121.89,,,,,,,,,,,,Fruit,92.97829110231359,92.9819995499424,,,,,,,,,Fruit,,,,,,0,,,,,Fruit,1310898890,,,,,,,Fruit,0,0,,0,,0,,,,Fruit,,,
7,milk & Dairy,841,841,,,,841,841,,,,,milk & Dairy,0.14953652986190472,0.1281,-0.021436529861904724,125.76022161386187,107.74,125.76022161386187,107.74,,,,,,,,,,milk & Dairy,95.93434136927362,82.18787949389444,95.93434136927362,82.18787949389444,,,,,,,milk & Dairy,91.25,,4.684341369273625,0.05133524788245068,,-9.062120506105558,-0.09931090965595131,,,,milk & Dairy,1310898890,119.6195237125,,155.50538082625,,,,milk & Dairy,585.5019199762501,45.84979796211825,761.1524959691251,59.60473735075373,,79.84750403087514,0.09494352441245558,,,milk & Dairy,841,,
8,red meat,212,212,,,,212,212,,,,,red meat,0.022612480540453422,0.0226,-1.248054045342381e-05,4.793845874576125,4.79,4.793845874576125,4.79,,,,,,,,,,read meat,3.6569150459621835,3.6539812769236533,3.6569150459621835,3.6539812769236533,,,,,,,read meat,5.11,,-1.4530849540378168,-0.2843610477569113,5.332551432071812,-1.456018723076347,-0.284935170856428,,,,read meat,1310898890,6.698693327900001,,8.708301326270002,,,,read meat,32.78810751867,2.567588685878622,42.62453977427101,3.337865291642209,,169.375460225729,0.7989408501213632,,,read meat,212,,
9,Poultry,134,371.9,,,,134,371.9,,,,,Poultry,0.03345827036240278,0.0335,4.172963759722231e-05,4.483408228561973,4.48,19.725860707303717,19.720000000000002,,,,,,,,,,Poultry,3.4201022388248212,3.417502321632144,15.047583652545253,15.043112897898633,,,,,,,Poultry,25.55,,-10.502416347454748,-0.41105347739548914,6.4113452363407255,-10.506887102101368,-0.4112284580078813,,,,Poultry,1310898890,33.4934666395,,43.54150663135,,,,Poultry,163.94053759335,12.837943429393109,213.122698871355,16.689326458211042,,158.77730112864498,1.1849052323033207,,,Poultry,134,,
10,Fish & Seafood,155,,,,,155,,,,,,Fish & Seafood,0.064269978300629,0.0643,3.0021699370996746e-05,9.961846636597494,9.96,,,,,,,,,,,,Fish & Seafood,7.599248662570378,7.597839982914319,,,,,,,,,Fish & Seafood,,,,,,0,,,,,Fish & Seafood,1310898890,,,,,,,Fish & Seafood,0,,,,,0,,,,Fish & Seafood,,,
11,eggs,82.9,,,,,82.9,,,,,,eggs,0.0636985023177835,0.0637,1.497682216508589e-06,5.2806058421442525,5.28,,,,,,,,,,,,eggs,4.028232751150054,4.0277705933521695,,,,,,,,,eggs,,,,,,0,,,,,eggs,1310898890,,,,,,,eggs,0,,,,,0,,,,eggs,,,
12,Legumes & nuts,440,440,0.062,0.003,0.065,411.40000000000003,416.70000000000005,,,,,Legumes,0.28896979225718195,0.289,3.0207742818033623e-05,118.88217253460466,127.88000000000001,119.60786720916066,119.60786720916066,,,,,,,,,,Legumes,90.68752246376886,97.5513832344461,91.241108007316,97.5513832344461,,,,,,,Legumes,45.625,,45.616108007316,0.9998051070096657,9.999025487564605,51.92638323444611,1.138112509248134,,,,Legumes,1310898890,59.80976185625,,77.752690413125,,,,Legumes,292.75095998812503,22.924898981059126,380.57624798456254,29.802368675376865,,64.72375201543758,0.14709943639872178,,,Legumes,440,,
13,Nuts,5.3,5.3,,,,5.3,,,,,,nuts,0.13692352350113227,0.1369,-2.3523501132272084e-05,0.725694674556001,,,,,,,,,,,,,nuts,0.5535855435471465,,,,,,,,,,nuts,,,,,,,,,,,,1310898890,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waste,871.9294592286315,68.2795191251865,,0,,,,,,,,,
15,,,,,,,,,,,,E Asia & Oceania,Startch Veg,0.3186308292320653,0.1789,-0.1397308292320653,265.9611531600049,149.32,265.9611531600049,149.32,2193.29474193515,,,0.36741928783091776,2634.1799999999994,0.3293706295387939,,,E Asia & Oceania,Startch Veg,125.84555691055047,70.65414754980546,125.84555691055047,70.65414754980546,1037.807194728761,1246.4220626355916,51.89035973643805,,,E Asia & Oceania,Startch Veg,18.25,452.96500000000003,107.59555691055047,5.895646954002766,24.28095334619867,52.40414754980546,2.8714601397153676,,,E Asia & Oceania,Startch Veg,2113393271,38.56942719575,957.293182998515,50.140255354475,1244.4811378980694,,,,,,,,,,,,,,,,
16,animal feed,,,,,,,1120.75,,,,,Whole Grains,0.3949522452431607,0.395,4.77547568393244e-05,505.60206627048456,1053.34,505.60206627048456,1053.34,,,,,,,,,,Whole Grains,239.23709477472096,498.4117317178682,239.23709477472096,498.4117317178682,,,,,,,Whole Grains,84.68,,154.55709477472095,1.8251900658327933,13.509959532999325,413.7317317178682,4.885825835118896,,,,Whole Grains,2113393271,178.96214218828004,,232.65078484476405,,,,,,,,,,,,,,,,,
17,biofuels,,,,,,,294.69,,,,,Vegetables,0.5976670956099678,0.5977,3.2904390032229e-05,675.3638180392636,675.36,987.2958277934767,987.29,,,,,,,,,,Vegetables,319.56372119974617,319.56191460779945,467.16143244192097,467.15867488914705,,,,,,,Vegetables,182.5,,284.66143244192097,1.5597886709146354,12.489149974736613,284.65867488914705,1.5597735610364223,,,,Vegetables,2113393271,385.6942719575,,501.40255354475005,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,Fruit,0.35326388420635696,0.3533,3.6115793643043403e-05,311.9320097542132,311.93,,,,,,,,,,,,Fruit,147.59771124217477,147.59676028134757,,,,,,,,,Fruit,,,,,,0,,,,,Fruit,2113393271,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,milk & Dairy,0.031018438930037952,0.0318,0.0007815610699620501,26.086507140161917,26.74,26.086507140161917,26.74,,,,,,,,,,milk & Dairy,12.343423014599878,12.652637995458063,12.343423014599878,12.652637995458063,,,,,,,milk & Dairy,91.25,,-78.90657698540012,-0.8647296107989054,9.2990838839044,-78.59736200454194,-0.8613409534744322,,,,milk & Dairy,2113393271,192.84713597875,,250.70127677237502,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,read meat,0.4374804362058339,0.4375,1.9563794166121973e-05,92.74585247563678,92.75,92.74585247563678,92.75,,,,,,,,,,read meat,43.88480542088221,43.886767916183075,43.88480542088221,43.886767916183075,,,,,,,read meat,5.11,,38.77480542088221,7.588024544203955,27.546369169463976,38.776767916183076,7.588408594164985,,,,read meat,2113393271,10.799439614810002,,14.039271499253003,,,,,,,,,,,,,,Eat Lancet ideal Diet,,,
21,,,,,,,,,,,,,Poultry,0.29148287940845347,0.2915,1.7120591546515573e-05,39.05870584073276,39.06,182.05431489092712,182.06,,,,,,,,,,Poultry,18.48151329745232,18.48212565828691,86.1431317062839,86.14582174469317,,,,,,,Poultry,25.55,,60.5931317062839,2.371551143103088,15.399841372894358,60.59582174469317,2.3716564283637247,,,,Poultry,2113393271,53.997198074050004,,70.19635749626501,,,,,,,,,,,,,,per cap consumption requirements,g/day,g/year,kg/year
22,,,,,,,,,,,,,Fish & Seafood,0.6265820959694773,0.6266,1.7904030522708503e-05,97.12022487526899,97.12,,,,,,,,,,,,Fish & Seafood,45.95463901960582,45.95453261476766,,,,,,,,,Fish & Seafood,,,,,,0,,,,,Fish & Seafood,2113393271,,,,,,,,,,,,,,,,,starchy veg,50,18250,18.25
23,,,,,,,,,,,,,eggs,0.553382197526241,0.5534,1.7802473759043203e-05,45.87538417492538,45.88,,,,,,,,,,,,eggs,21.706979389225747,21.709163471638593,,,,,,,,,eggs,,,,,,0,,,,,eggs,2113393271,,,,,,,,,,,,,,,,,whole grains,232,84680,84.68
24,,,,,,,,,,,,,Legumes,0.31926586536202933,0.3193,3.413463797063976e-05,131.34597700993888,142.67999999999998,133.54902020445786,142.67999999999998,,,,,,,,,,Legumes,62.1493305634448,67.51228082243665,63.19175045980255,67.51228082243665,,,,,,,Legumes,45.625,,17.56675045980255,0.3850246676121107,6.205035597094595,21.88728082243665,0.4797212235054608,,,,Legumes,2113393271,96.423567989375,,125.35063838618751,,,,,,,,,,,,,,veg & fruit,500,182500,182.5
25,,,,,,,,,,,,,nuts,0.4156685272677344,0.4157,3.147273226561387e-05,2.203043194518992,,,,,,,,,,,,,nuts,1.0424198963577527,,,,,,,,,,nuts,,,,,,,,,,,,2113393271,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,SSAfrica,Startch Veg,0.24109918924260015,0.1354,-0.10569918924260016,201.24549326079836,112.99,201.24549326079836,112.99,504.26084161100374,,,0.084473443428887,524.33,0.10033304789569761,,,SSAfrica,Startch Veg,312.5983689657554,175.50946924147075,312.5983689657554,175.50946924147075,783.277747326353,814.4515444497775,39.16388736631765,,,SSAfrica,Startch Veg,18.25,452.96500000000003,294.3483689657554,16.128677751548242,40.16052508564628,157.25946924147075,8.616957218710727,,,SSAfrica,Startch Veg,643782928,11.749038436,291.61113398152,15.273749966799999,379.094474175976,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,Whole Grains,0.07462852423682473,0.0746,-2.852423682472849e-05,95.53645158701353,199.03,95.53645158701353,199.03,,,,,,,,,,Whole Grains,148.3985477586531,309.1570020632793,148.3985477586531,309.1570020632793,,,,,,,Whole Grains,84.68,,63.7185477586531,0.7524627746652468,8.674461220532644,224.47700206327931,2.650885711658943,,,,Whole Grains,643782928,54.51553834304,,70.870199845952,,,,,,,,,,,,,,milk,250,91250,91.25
29,,,,,,,,,,,,,Vegetables,0.030786872474324933,0.0308,1.3127525675067642e-05,34.789165895987175,34.79,98.50747285183596,98.50999999999999,,,,,,,,,,Vegetables,54.03865865791827,54.03995428720035,153.0134903667964,153.01741583305855,,,,,,,Vegetables,182.5,,-29.48650963320361,-0.16156991579837596,4.019576044788504,-29.48258416694145,-0.16154840639419973,,,,Vegetables,643782928,117.49038436,,152.737499668,,,,,,,,,,,,,,redmeat,14,5110,5.11
30,,,,,,,,,,,,,Fruit,0.07216116303040633,0.0722,3.883696959366967e-05,63.71830695584879,63.72,,,,,,,,,,,,Fruit,98.97483170887811,98.97746154585819,,,,,,,,,Fruit,,,,,,0,,,,,Fruit,643782928,,,,,,,,,,,,,,,,,other asf,70,25550,25.55
31,,,,,,,,,,,,,milk & Dairy,0.03878533930612425,0.0398,0.001014660693875749,32.618470356450494,33.43,32.618470356450494,33.43,,,,,,,,,,milk & Dairy,50.66687688936432,51.92744098364783,50.66687688936432,51.92744098364783,,,,,,,milk & Dairy,91.25,,-40.58312311063568,-0.4447465546371034,6.66893210819471,-39.32255901635217,-0.43093215360385945,,,,milk & Dairy,643782928,58.74519218,,76.368749834,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,read meat,0.028633821788983285,0.0286,-3.3821788983284806e-05,6.070370219264457,6.07,6.070370219264457,6.07,,,,,,,,,,read meat,9.42921900418033,9.428643935708715,9.42921900418033,9.428643935708715,,,,,,,read meat,5.11,,4.31921900418033,0.8452483374129804,9.19373883364641,4.318643935708715,0.8451357995516076,,,,read meat,643782928,3.2897307620800005,,4.2766499907040005,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,Poultry,0.03203525791296399,0.032,-3.5257912963986004e-05,4.292724560337175,4.29,12.356674670436348,12.36,,,,,,,,,,Poultry,6.667968928087473,6.663736817823787,19.193852668358346,19.19901796463916,,,,,,,Poultry,25.55,,-6.356147331641655,-0.24877288969243266,4.987713801857848,-6.35098203536084,-0.24857072545443598,,,,Poultry,643782928,16.4486538104,,21.38324995352,,,,,,,,,,,,,,legumes,125,45625,45.625
34,,,,,,,,,,,,,Fish & Seafood,0.043336749542266975,0.0433,-3.6749542266976964e-05,6.717196179051381,6.72,,,,,,,,,,,,Fish & Seafood,10.43394580207225,10.438301029318378,,,,,,,,,Fish & Seafood,,,,,,0,,,,,Fish & Seafood,643782928,,,,,,,,,,,,,,,,,,,,452.96500000000003
35,,,,,,,,,,,,,eggs,0.016245523896837054,0.0162,-4.552389683705471e-05,1.3467539310477918,1.35,,,,,,,,,,,,eggs,2.091937938198622,2.096980117496996,,,,,,,,,eggs,,,,,,0,,,,,eggs,643782928,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,Legumes,0.14040590857540525,0.1404,-5.908575405250138e-06,57.76299078792172,61.94,57.925908665204574,61.94,,,,,,,,,,Legumes,89.72432830328444,96.21255442797327,89.97739167324515,96.21255442797327,,,,,,,Legumes,45.625,,44.35239167324515,0.9721072147560581,9.859549760288541,50.587554427973274,1.1087683162295512,,,,Legumes,643782928,29.37259609,,38.184374917,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,nuts,0.030739222128840355,0.0307,-3.922212884035353e-05,0.16291787728285387,,,,,,,,,,,,,nuts,0.25306336996071116,,,,,,,,,,nuts,,,,,,,,,,,,643782928,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
