,country,poultry
0,Afghanistan,1.43
1,Albania,9.48
2,Algeria,6.98
3,Angola,11.76
4,Antigua and Barbuda,57.64
5,Argentina,44.25
6,Armenia,15.17
7,Australia,48.66
8,Austria,18.51
9,Azerbaijan,13.87
10,Bahamas,51.88
11,Bangladesh,1.59
12,Barbados,48.66
13,Belarus,28.84
14,Belgium,11.51
15,Belize,25.78
16,Benin,9.95
17,Bolivia (Plurinational State of),42.59
18,Bosnia and Herzegovina,19.76
19,Botswana,3.93
20,Brazil,47.05
21,Bulgaria,22.67
22,Burkina Faso,2.41
23,Cabo Verde,17.5
24,Cambodia,2.46
25,Cameroon,3.19
26,Canada,40.48
27,Central African Republic,2.02
28,Chad,0.45
29,Chile,40.85
30,China,13.72
31,"China, Hong Kong SAR",39.84
32,"China, Macao SAR",34.15
33,"China, Taiwan Province of",35.67
34,Colombia,34.61
35,Congo,24.54
36,Costa Rica,26.97
37,C̫te d'Ivoire,1.8
38,Croatia,12.36
39,Cuba,28.41
40,Cyprus,25.17
41,Czechia,22.29
42,Democratic People's Republic of Korea,1.67
43,Denmark,26.9
44,Djibouti,3.24
45,Dominica,42.44
46,Dominican Republic,37.23
47,Ecuador,20.49
48,Egypt,17.38
49,El Salvador,24.05
50,Estonia,22.17
51,Eswatini,6.9
52,Ethiopia,0.69
53,Fiji,23.76
54,Finland,19.4
55,France,22.99
56,French Polynesia,48.86
57,Gabon,29.64
58,Gambia,3.79
59,Georgia,16.52
60,Germany,18.15
61,Ghana,9.06
62,Greece,20.01
63,Grenada,42.76
64,Guatemala,18.45
65,Guinea,2.2
66,Guinea-Bissau,2.2
67,Guyana,38.68
68,Haiti,8.65
69,Honduras,23.2
70,Hungary,25.46
71,Iceland,30.86
72,India,2.32
73,Indonesia,7.92
74,Iran (Islamic Republic of),27.24
75,Iraq,9.44
76,Ireland,24.48
77,Israel,67.54
78,Italy,18.89
79,Jamaica,51.57
80,Japan,18.78
81,Jordan,24.75
82,Kazakhstan,18.62
83,Kenya,0.61
84,Kiribati,16.05
85,Kuwait,47.97
86,Kyrgyzstan,3.39
87,Lao People's Democratic Republic,5.8
88,Latvia,21.03
89,Lebanon,17.83
90,Lesotho,7.84
91,Liberia,14.69
92,Lithuania,29.04
93,Luxembourg,18.96
94,Madagascar,3.05
95,Malawi,3.35
96,Malaysia,39.04
97,Maldives,13.16
98,Mali,2.47
99,Malta,26.57
100,Mauritania,5.14
101,Mauritius,39.59
102,Mexico,34.46
103,Mongolia,2.95
104,Montenegro,16.64
105,Morocco,20.26
106,Mozambique,3.8
107,Myanmar,29.1
108,Namibia,9.91
109,Nepal,2.06
110,Netherlands,13.11
111,New Caledonia,34.76
112,New Zealand,25.51
113,Nicaragua,20.47
114,Niger,1.11
115,Nigeria,1.08
116,North Macedonia,19.73
117,Norway,20.57
118,Oman,20.63
119,Pakistan,4.92
120,Panama,33.92
121,Papua New Guinea,3.36
122,Paraguay,9.97
123,Peru,13.59
124,Philippines,12.83
125,Poland,30.46
126,Portugal,31.64
127,Republic of Korea,16.91
128,Republic of Moldova,18.85
129,Romania,19.31
130,Russian Federation,31.31
131,Rwanda,1.28
132,Saint Kitts and Nevis,50.56
133,Saint Lucia,61.22
134,Saint Vincent and the Grenadines,73.41
135,Samoa,63.49
136,Sao Tome and Principe,9.66
137,Saudi Arabia,35.0
138,Senegal,4.46
139,Serbia,11.68
140,Sierra Leone,4.14
141,Slovakia,14.15
142,Slovenia,24.06
143,Solomon Islands,4.65
144,South Africa,38.57
145,Spain,30.48
146,Sri Lanka,5.25
147,Sudan,1.6
148,Suriname,33.46
149,Sweden,16.88
150,Switzerland,15.47
151,Tajikistan,3.25
152,Thailand,13.26
153,Timor-Leste,4.18
154,Togo,7.25
155,Trinidad and Tobago,63.49
156,Tunisia,17.34
157,Turkey,20.84
158,Turkmenistan,4.66
159,Uganda,1.61
160,Ukraine,24.56
161,United Arab Emirates,43.04
162,United Kingdom of Great Britain and Northern Ireland,30.21
163,United Republic of Tanzania,1.44
164,United States of America,56.64
165,Uruguay,9.39
166,Uzbekistan,2.06
167,Vanuatu,12.12
168,Venezuela (Bolivarian Republic of),15.61
169,Viet Nam,15.89
170,Yemen,6.47
171,Zambia,3.32
172,Zimbabwe,4.83
