,FISH & SEAFOOD,Unnamed: 1,Unnamed: 2
0,Afghanistan,,0.25 kg
1,Africa,,2013 10.77 kg
2,Albania,,5.36 kg
3,Algeria,,3.86 kg
4,Americas,,2013 14.20 kg
5,Angola,,20.22 kg
6,Antigua and Barbuda,,52.54 kg
7,Argentina,,7.29 kg
8,Armenia,,5.83 kg
9,Asia,,2013 21.43 kg
10,"Asia, Central",,2013 2.26 kg
11,Australia,,25.87 kg
12,Australia & New Zealand,,2013 25.91 kg
13,Austria,,14.09 kg
14,Azerbaijan,,3.20 kg
15,Bahamas,,27.31 kg
16,Bangladesh,,24.31 kg
17,Barbados,,39.97 kg
18,Belarus,,16.28 kg
19,Belgium,,23.01 kg
20,Belgium-Luxembourg,,1999 23.40 kg
21,Belize,,12.16 kg
22,Benin,,17.60 kg
23,Bermuda,,2013 45.17 kg
24,Bolivia,,2.57 kg
25,Bosnia and Herzegovina,,4.89 kg
26,Botswana,,3.80 kg
27,Brazil,,9.09 kg
28,Brunei,,2013 46.70 kg
29,Bulgaria,,7.05 kg
30,Burkina Faso,,7.06 kg
31,Cambodia,,42.69 kg
32,Cameroon,,18.06 kg
33,Canada,,22.45
34,Cape Verde,,11.1
35,Caribbean,,2013 8.96 kg
36,Central African Republic,,7.73 kg
37,Central America,,2013 9.09 kg
38,Chad,,7.18 kg
39,Chile,,11.78 kg
40,China,,38.17 kg
41,Colombia,,7.16 kg
42,Congo,,29.34 kg
43,Costa Rica,,18.46 kg
44,Cote d'Ivoire,,17.97 kg
45,Croatia,,18.74 kg
46,Cuba,,5.69 kg
47,Cyprus,,24.94 kg
48,Czechia,,9.31 kg
49,Czechoslovakia,,1992 5.38 kg
50,Denmark,,22.70 kg
51,Djibouti,,3.69 kg
52,Dominica,,28.06 kg
53,Dominican Republic,,9.56 kg
54,Eastern Africa,,2013 4.80 kg
55,Eastern Asia,,2013 35.86 kg
56,Eastern Europe,,2013 17.08 kg
57,Ecuador,,7.77 kg
58,Egypt,,23.69 kg
59,El Salvador,,6.64 kg
60,Estonia,,14.72 kg
61,Eswatini,,3.88 kg
62,Ethiopia,,0.44 kg
63,Ethiopia PDR,,1992 0.09 kg
64,Europe,,2013 21.85 kg
65,"Europe, Western",,2013 21.45 kg
66,European Union,,2013 22.47 kg
67,Fiji,,34.83 kg
68,Finland,,33.62 kg
69,France,,34.37 kg
70,French Polynesia,,47.24 kg
71,Gabon,,30.94 kg
72,Gambia,,27.53 kg
73,Georgia,,8.04 kg
74,Germany,,12.75 kg
75,Ghana,,25.51 kg
76,Greece,,19.44 kg
77,Grenada,,27.10 kg
78,Guatemala,,2.58 kg
79,Guinea,,10.09 kg
80,Guinea-Bissau,,1.30 kg
81,Guyana,,30.48 kg
82,Haiti,,4.53 kg
83,Honduras,,3.15 kg
84,Hong Kong,,70.75 kg
85,Hungary,,6.30 kg
86,Iceland,,90.71 kg
87,India,,6.90 kg
88,Indonesia,,44.67 kg
89,Iran,,11.73 kg
90,Iraq,,3.37 kg
91,Ireland,,23.43 kg
92,Israel,,25.92 kg
93,Italy,,29.80 kg
94,Jamaica,,25.41 kg
95,Japan,,45.49 kg
96,Jordan,,5.87 kg
97,Kazakhstan,,4.50 kg
98,Kenya,,3.98 kg
99,Kiribati,,76.69 kg
100,Kuwait,,11.48 kg
101,Kyrgyzstan,,1.14 kg
102,Land Locked Developing Countries,,2013 3.87 kg
103,Laos,,25.26 kg
104,Latvia,,24.86 kg
105,Least Developed Countries,,2013 12.56 kg
106,Lebanon,,8.73 kg
107,Lesotho,,1.84 kg
108,Liberia,,5.88 kg
109,Lithuania,,33.09 kg
110,Low Income Food Deficit Countries,,2013 6.90 kg
111,Luxembourg,,32.15 kg
112,Macao,,56.33 kg
113,Madagascar,,5.29 kg
114,Malawi,,9.50 kg
115,Malaysia,,57.62 kg
116,Maldives,,90.41 kg
117,Mali,,9.34 kg
118,Malta,,31.90 kg
119,Mauritania,,9.16 kg
120,Mauritius,,23.07 kg
121,Melanesia,,2013 33.67 kg
122,Mexico,,14.38 kg
123,Micronesia (region),,2013 72.46 kg
124,Middle Africa,,2013 14.08 kg
125,Moldova,,11.58 kg
126,Mongolia,,0.48 kg
127,Montenegro,,14.06 kg
128,Morocco,,19.47 kg
129,Mozambique,,11.46 kg
130,Myanmar,,47.32 kg
131,Namibia,,11.56 kg
132,Nepal,,2.83 kg
133,Net Food Importing Developing Countries,,2013 11.82 kg
134,Netherlands,,21.77 kg
135,Netherlands Antilles,,2010 27.15 kg
136,New Caledonia,,23.80 kg
137,New Zealand,,24.73 kg
138,Nicaragua,,6.51 kg
139,Niger,,2.03 kg
140,Nigeria,,9.12 kg
141,North Korea,,11.40 kg
142,North Macedonia,,6.21 kg
143,Northern Africa,,2013 13.53 kg
144,Northern America,,2013 21.61 kg
145,Northern Europe,,2013 25.34 kg
146,Norway,,51.35 kg
147,Oceania,,2013 26.87 kg
148,Oman,,28.54 kg
149,Pakistan,,1.72 kg
150,Panama,,13.12 kg
151,Paraguay,,4.17 kg
152,Peru,,25.04 kg
153,Philippines,,28.14 kg
154,Poland,,10.69 kg
155,Polynesia,,2013 45.91 kg
156,Portugal,,56.84 kg
157,Romania,,5.96 kg
158,Russia,,20.07 kg
159,Rwanda,,7.66 kg
160,Saint Kitts and Nevis,,36.05 kg
161,Saint Lucia,,34.10 kg
162,Saint Vincent and the Grenadines,,18.14 kg
163,Samoa,,46.32 kg
164,Sao Tome and Principe,,28.30 kg
165,Saudi Arabia,,11.33 kg
166,Senegal,,18.09 kg
167,Serbia,,6.18 kg
168,Serbia and Montenegro,,2005 4.49 kg
169,Sierra Leone,,26.30 kg
170,Slovakia,,9.70 kg
171,Slovenia,,11.96 kg
172,Small island developing States,,2013 12.45 kg
173,Solomon Islands,,30.14 kg
174,South Africa,,5.97 kg
175,South America,,2013 10.31 kg
176,South Eastern Asia,,2013 33.00 kg
177,South Korea,,54.97 kg
178,Southern Africa,,2013 6.09 kg
179,Southern Asia,,2013 6.36 kg
180,Southern Europe,,2013 29.07 kg
181,Spain,,42.47 kg
182,Sri Lanka,,30.84 kg
183,Sudan,,1.03 kg
184,Sudan (former),,2011 1.79 kg
185,Suriname,,16.69 kg
186,Sweden,,32.81 kg
187,Switzerland,,16.94 kg
188,Taiwan,,29.69 kg
189,Tajikistan,,0.37 kg
190,Tanzania,,6.80 kg
191,Thailand,,29.17 kg
192,Timor,,7.98 kg
193,Togo,,11.73 kg
194,Trinidad and Tobago,,23.85 kg
195,Tunisia,,13.16 kg
196,Turkey,,4.85 kg
197,Turkmenistan,,2.94 kg
198,USSR,,1991 21.82 kg
199,Uganda,,11.27 kg
200,Ukraine,,11.67 kg
201,United Arab Emirates,,24.71 kg
202,United Kingdom,,19.73 kg
203,United States,,22.36 kg
204,Uruguay,,9.23 kg
205,Uzbekistan,,2.25 kg
206,Vanuatu,,28.40 kg
207,Venezuela,,10.10 kg
208,Vietnam,,37.66 kg
209,Western Africa,,2013 15.25 kg
210,Western Asia,,2013 8.00 kg
211,World,,2013 18.98 kg
212,Yemen,,3.17 kg
213,Yugoslavia,,1991 2.19 kg
214,Zambia,,12.05 kg
215,Zimbabwe,,3.73 kg
216,1961,,
217,2017,,
218,CHART,,
219,MAP,,
220,TABLE,,
221,SOURCES,,
222,DOWNLOAD,,
223,How is our seafood produced?,,
