,Country,STARCHY VEG
0,Afghanistan,7.46
1,Albania,47.75
2,Algeria,67.1
3,Angola,248.22
4,Antigua and Barbuda,18.5
5,Argentina,47.37
6,Armenia,34.19
7,Australia,48.81
8,Austria,57.14
9,Azerbaijan,72.67
10,Bahamas,12.07
11,Bangladesh,53.27
12,Barbados,47.27
13,Belarus,182.43
14,Belgium,85.91
15,Belize,13.47
16,Benin,277.03
17,Bolivia (Plurinational State of),80.26
18,Bosnia and Herzegovina,86.9
19,Botswana,54.29
20,Brazil,49.04
21,Bulgaria,27.08
22,Burkina Faso,5.2
23,Cabo Verde,39.84
24,Cambodia,29.28
25,Cameroon,156.27
26,Canada,78.33
27,Central African Republic,265.37
28,Chad,57.5
29,Chile,58.54
30,"China, Hong Kong SAR",9.45
31,"China, Macao SAR",15.96
32,"China, mainland",64.49
33,"China, Taiwan Province of",11.04
34,Colombia,77.46
35,Congo,270.35
36,Costa Rica,23.15
37,C̫te d'Ivoire,297.07
38,Croatia,39.13
39,Cuba,96.48
40,Cyprus,22.17
41,Czechia,64.04
42,Democratic People's Republic of Korea,61.28
43,Denmark,56.92
44,Djibouti,16.05
45,Dominica,137.02
46,Dominican Republic,31.99
47,Ecuador,20.8
48,Egypt,35.27
49,El Salvador,25.17
50,Estonia,64.22
51,Eswatini,66.62
52,Ethiopia,73.35
53,Fiji,143.95
54,Finland,57.09
55,France,49.56
56,French Polynesia,48.68
57,Gabon,160.3
58,Gambia,6.53
59,Georgia,47.12
60,Germany,58.73
61,Ghana,443.56
62,Greece,55.77
63,Grenada,23.91
64,Guatemala,11.86
65,Guinea,133.86
66,Guinea-Bissau,62.39
67,Guyana,33.41
68,Haiti,106.48
69,Honduras,7.33
70,Hungary,39.56
71,Iceland,38.55
72,India,30.16
73,Indonesia,69.05
74,Iran (Islamic Republic of),56.26
75,Iraq,18.14
76,Ireland,68.72
77,Israel,35.1
78,Italy,35.48
79,Jamaica,64.31
80,Japan,24.88
81,Jordan,19.05
82,Kazakhstan,109.02
83,Kenya,66.41
84,Kiribati,93.5
85,Kuwait,37.53
86,Kyrgyzstan,94.23
87,Lao People's Democratic Republic,57.14
88,Latvia,112.73
89,Lebanon,43.18
90,Lesotho,56.74
91,Liberia,118.0
92,Lithuania,60.62
93,Luxembourg,32.45
94,Madagascar,119.14
95,Malawi,142.04
96,Malaysia,18.5
97,Maldives,18.17
98,Mali,28.89
99,Malta,29.02
100,Mauritania,9.63
101,Mauritius,24.25
102,Mexico,17.08
103,Mongolia,44.55
104,Montenegro,26.89
105,Morocco,41.26
106,Mozambique,275.91
107,Myanmar,13.62
108,Namibia,126.88
109,Nepal,89.57
110,Netherlands,70.95
111,New Caledonia,26.78
112,New Zealand,49.85
113,Nicaragua,18.76
114,Niger,22.73
115,Nigeria,276.07
116,North Macedonia,60.64
117,Norway,52.6
118,Oman,24.47
119,Pakistan,15.48
120,Panama,17.06
121,Papua New Guinea,200.83
122,Paraguay,171.53
123,Peru,131.68
124,Philippines,17.18
125,Poland,99.53
126,Portugal,62.78
127,Republic of Korea,15.04
128,Republic of Moldova,40.06
129,Romania,97.72
130,Russian Federation,101.11
131,Rwanda,290.13
132,Saint Kitts and Nevis,26.77
133,Saint Lucia,31.25
134,Saint Vincent and the Grenadines,59.85
135,Samoa,138.96
136,Sao Tome and Principe,47.23
137,Saudi Arabia,16.36
138,Senegal,29.01
139,Serbia,35.18
140,Sierra Leone,201.67
141,Slovakia,50.79
142,Slovenia,42.12
143,Solomon Islands,318.79
144,South Africa,32.43
145,Spain,56.13
146,Sri Lanka,21.49
147,Sudan,20.47
148,Suriname,29.12
149,Sweden,52.63
150,Switzerland,39.25
151,Tajikistan,34.25
152,Thailand,9.97
153,Timor-Leste,43.74
154,Togo,188.44
155,Trinidad and Tobago,36.58
156,Tunisia,31.38
157,Turkey,46.82
158,Turkmenistan,94.44
159,Uganda,50.05
160,Ukraine,138.86
161,United Arab Emirates,12.9
162,United Kingdom of Great Britain and Northern Ireland,76.85
163,United Republic of Tanzania,187.79
164,USA,55.92
165,Uruguay,47.6
166,Uzbekistan,71.34
167,Vanuatu,161.7
168,Venezuela (Bolivarian Republic of),30.62
169,Viet Nam,16.81
170,Yemen,10.04
171,Zambia,69.63
172,Zimbabwe,19.21
