,Country,WHOLE GRAINS,WHEAT,RICE
0,Afghanistan,177.59,158.66,15.84
1,Albania,150.44,134.78,12.7
2,Algeria,218.3,184.58,4.03
3,Angola,95.72,36.05,11.95
4,Antigua and Barbuda,82.79,67.86,12.42
5,Argentina,127.74,101.71,12.79
6,Armenia,152.31,144.9,3.29
7,Australia,95.69,75.3,14.25
8,Austria,114.34,84.56,5.51
9,Azerbaijan,200.63,185.93,2.92
10,Bahamas,71.94,31.42,19.66
11,Bangladesh,279.07,18.67,259.7
12,Barbados,94.81,63.66,16.4
13,Belarus,109.95,69.26,2.94
14,Belgium,125.5,110.51,11.37
15,Belize,124.63,53.52,39.62
16,Benin,148.59,16.17,87.69
17,Bolivia (Plurinational State of),131.35,56.28,41.47
18,Bosnia and Herzegovina,169.23,85.69,2.98
19,Botswana,120.6,43.36,12.51
20,Brazil,134.28,55.29,46.17
21,Bulgaria,131.81,97.49,3.37
22,Burkina Faso,161.46,14.02,25.75
23,Cabo Verde,159.95,37.31,77.71
24,Cambodia,254.22,2.83,239.91
25,Cameroon,139.62,24.3,40.56
26,Canada,110.28,75.91,12.83
27,Central African Republic,24.03,1.0,2.21
28,Chad,125.21,4.78,14.89
29,Chile,143.27,106.3,13.35
30,"China, Hong Kong SAR",126.41,58.0,61.83
31,"China, Macao SAR",113.65,52.79,57.63
32,"China, mainland",194.59,64.64,119.45
33,"China, Taiwan Province of",126.6,48.97,67.69
34,Colombia,136.7,37.06,58.94
35,Congo,85.83,54.75,26.63
36,Costa Rica,122.73,38.26,66.18
37,C̫te d'Ivoire,149.19,21.74,97.77
38,Croatia,106.17,92.21,2.5
39,Cuba,159.14,51.66,77.67
40,Cyprus,146.1,120.52,5.08
41,Czechia,102.11,84.36,6.62
42,Democratic People's Republic of Korea,176.96,19.45,111.21
43,Denmark,112.17,85.2,4.4
44,Djibouti,173.68,121.98,46.53
45,Dominica,53.16,37.4,10.26
46,Dominican Republic,106.25,26.36,73.82
47,Ecuador,167.49,66.09,58.37
48,Egypt,253.45,144.77,46.07
49,El Salvador,138.16,35.64,14.83
50,Estonia,101.1,61.08,2.33
51,Eswatini,154.18,42.24,35.0
52,Ethiopia,163.33,36.47,3.97
53,Fiji,144.73,81.07,61.33
54,Finland,111.61,70.88,4.62
55,France,138.55,116.22,7.26
56,French Polynesia,100.66,63.51,35.45
57,Gabon,127.0,57.52,55.33
58,Gambia,139.4,36.88,74.3
59,Georgia,176.54,138.17,2.46
60,Germany,114.9,86.28,4.7
61,Ghana,87.66,20.27,37.7
62,Greece,135.86,126.74,4.79
63,Grenada,67.24,50.2,10.78
64,Guatemala,139.86,38.33,8.66
65,Guinea,207.6,17.68,168.84
66,Guinea-Bissau,159.09,9.54,134.71
67,Guyana,176.15,58.91,114.74
68,Haiti,115.12,24.97,64.72
69,Honduras,133.22,30.08,22.78
70,Hungary,118.75,109.53,6.59
71,Iceland,84.65,76.42,4.24
72,India,171.14,61.74,97.38
73,Indonesia,259.45,36.76,195.29
74,Iran (Islamic Republic of),196.58,149.73,42.39
75,Iraq,187.26,134.45,50.36
76,Ireland,125.48,105.63,4.21
77,Israel,144.86,112.58,16.81
78,Italy,160.96,145.56,8.39
79,Jamaica,120.87,68.84,36.99
80,Japan,139.66,43.6,81.08
81,Jordan,140.78,120.07,18.74
82,Kazakhstan,105.98,82.38,10.32
83,Kenya,139.72,40.13,21.91
84,Kiribati,105.68,37.44,68.16
85,Kuwait,157.72,100.46,53.41
86,Kyrgyzstan,165.83,130.21,6.76
87,Lao People's Democratic Republic,263.94,3.42,243.7
88,Latvia,117.3,62.37,2.86
89,Lebanon,141.9,129.77,11.31
90,Lesotho,172.48,26.1,4.93
91,Liberia,126.97,15.15,111.2
92,Lithuania,145.56,119.98,3.09
93,Luxembourg,118.05,105.06,4.53
94,Madagascar,178.75,13.85,156.56
95,Malawi,139.0,7.88,6.03
96,Malaysia,175.12,47.44,109.62
97,Maldives,114.49,61.34,51.58
98,Mali,173.1,16.56,63.52
99,Malta,147.69,135.35,4.75
100,Mauritania,200.83,117.65,64.35
101,Mauritius,173.7,115.13,53.53
102,Mexico,157.44,30.73,8.38
103,Mongolia,125.51,112.49,9.12
104,Montenegro,130.29,119.97,2.07
105,Morocco,263.64,180.61,2.06
106,Mozambique,98.95,22.82,36.57
107,Myanmar,213.13,8.96,197.05
108,Namibia,114.02,51.46,9.4
109,Nepal,231.15,50.43,135.83
110,Netherlands,92.99,68.42,4.57
111,New Caledonia,117.03,96.38,20.06
112,New Zealand,112.78,90.64,10.78
113,Nicaragua,165.46,31.45,66.94
114,Niger,96.08,2.94,28.36
115,Nigeria,127.53,25.56,39.08
116,North Macedonia,130.02,100.02,3.73
117,Norway,111.58,92.81,4.69
118,Oman,131.83,70.28,48.13
119,Pakistan,149.21,109.36,20.21
120,Panama,187.22,31.81,122.44
121,Papua New Guinea,69.45,36.48,28.57
122,Paraguay,111.15,31.45,8.39
123,Peru,160.52,55.36,77.38
124,Philippines,229.95,31.69,176.49
125,Poland,144.51,106.64,1.77
126,Portugal,137.77,90.67,18.84
127,Republic of Korea,187.62,51.37,119.47
128,Republic of Moldova,126.72,32.35,3.29
129,Romania,170.8,128.48,4.88
130,Russian Federation,147.72,130.92,7.49
131,Rwanda,46.45,12.02,11.2
132,Saint Kitts and Nevis,68.39,42.5,24.33
133,Saint Lucia,97.94,84.18,7.87
134,Saint Vincent and the Grenadines,105.66,77.93,17.22
135,Samoa,69.24,52.96,14.22
136,Sao Tome and Principe,96.75,47.96,35.03
137,Saudi Arabia,189.55,100.35,55.58
138,Senegal,204.24,42.59,119.64
139,Serbia,145.68,111.04,0.96
140,Sierra Leone,179.02,11.82,161.16
141,Slovakia,101.99,93.45,2.38
142,Slovenia,145.57,100.28,3.37
143,Solomon Islands,120.76,28.29,92.14
144,South Africa,180.46,59.19,23.11
145,Spain,115.99,98.92,12.91
146,Sri Lanka,214.44,41.53,165.91
147,Sudan,137.17,61.04,2.91
148,Suriname,165.69,59.03,103.33
149,Sweden,109.44,90.69,5.95
150,Switzerland,104.33,95.66,2.56
151,Tajikistan,141.24,112.48,12.3
152,Thailand,194.5,19.52,164.44
153,Timor-Leste,209.86,17.78,102.32
154,Togo,144.09,18.39,24.23
155,Trinidad and Tobago,126.59,93.1,14.99
156,Tunisia,210.05,201.58,1.19
157,Turkey,207.89,170.63,15.93
158,Turkmenistan,207.85,186.48,19.61
159,Uganda,67.66,14.2,8.5
160,Ukraine,154.27,112.75,3.85
161,United Arab Emirates,164.84,106.08,57.38
162,United Kingdom of Great Britain and Northern Ireland,126.77,107.93,6.76
163,United Republic of Tanzania,117.15,17.24,35.3
164,United States of America,110.83,81.09,11.1
165,Uruguay,161.42,109.61,17.28
166,Uzbekistan,196.31,180.32,6.93
167,Vanuatu,80.72,37.59,42.11
168,Venezuela (Bolivarian Republic of),131.48,33.94,45.39
169,Viet Nam,234.44,14.18,205.52
170,Yemen,173.58,123.42,27.41
171,Zambia,137.29,7.87,2.99
172,Zimbabwe,120.21,20.61,1.63
